,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
7 months under 8 months,2377275.00,19579345.00,16843179.00,2759144.00,2004.00,gains,7 months under 8 months,
8 months under 9 months,2020394.00,16138540.00,13919429.00,2231705.00,2004.00,gains,8 months under 9 months,
9 months under 10 months,2075091.00,16523880.00,14486097.00,1986864.00,2004.00,gains,9 months under 10 months,
10 months under 11 months,1965728.00,17635825.00,15436574.00,1790182.00,2004.00,gains,10 months under 11 months,
11 months under 12 months,1773905.00,13001081.00,11416130.00,1603683.00,2004.00,gains,11 months under 12 months,
1 year or more [2],689534.00,12168984.00,10893531.00,1320789.00,2004.00,gains,1 year or more [2],
Holding period not determinable,6788559.00,447136415.00,429374056.00,36767751.00,2004.00,gains,Holding period not determinable,
Long-term transactions,,,, ,2004.00,gains,Long-term transactions,
Total:,65209352.00,1185607941.00,738986221.00,576491049.00,2004.00,gains,Total:,
Under 18 months [3],10745840.00,114505497.00,92481548.00,21046971.00,2004.00,gains,Under 18 months [3],
18 months under 2 years,6714660.00,67020587.00,51262875.00,14164747.00,2004.00,gains,18 months under 2 years,
2 years under 3 years,7640592.00,100706333.00,78216170.00,17997891.00,2004.00,gains,2 years under 3 years,
3 years under 4 years,3523225.00,86904824.00,47947221.00,35644955.00,2004.00,gains,3 years under 4 years,
4 years under 5 years,2483202.00,67861561.00,47925925.00,14540203.00,2004.00,gains,4 years under 5 years,
5 years under 10 years,5679606.00,171767602.00,100206177.00,59598893.00,2004.00,gains,5 years under 10 years,
10 years under 15 years,2000371.00,67566730.00,37643951.00,22683579.00,2004.00,gains,10 years under 15 years,
15 years under 20 years,930268.00,66923813.00,22907234.00,34717461.00,2004.00,gains,15 years under 20 years,
20 years or more,1330895.00,98208025.00,35108430.00,47760752.00,2004.00,gains,20 years or more,
Holding period not determinable,24160693.00,344142969.00,225286690.00,308335597.00,2004.00,gains,Holding period not determinable,
Total:,62947442.00,1909699408.00,2695423225.00,95073791.00,2005.00,gains,Total:,
Under 1 month,18844701.00,617304350.00,1473830962.00,13390031.00,2005.00,gains,Under 1 month,
1 month under 2 months,5892603.00,75740130.00,70049806.00,5709563.00,2005.00,gains,1 month under 2 months,
2 months under 3 months,3803418.00,52575126.00,49081594.00,3546493.00,2005.00,gains,2 months under 3 months,
3 months under 4 months,3893613.00,48850054.00,45488808.00,3383752.00,2005.00,gains,3 months under 4 months,
4 months under 5 months,3281927.00,31483792.00,28474188.00,2995451.00,2005.00,gains,4 months under 5 months,
5 months under 6 months,3160557.00,31928591.00,28438884.00,3395357.00,2005.00,gains,5 months under 6 months,
6 months under 7 months,3020237.00,36042146.00,32688542.00,3116474.00,2005.00,gains,6 months under 7 months,
7 months under 8 months,2594472.00,44909658.00,32733549.00,2721323.00,2005.00,gains,7 months under 8 months,
8 months under 9 months,2569765.00,21225811.00,19288590.00,1950874.00,2005.00,gains,8 months under 9 months,
9 months under 10 months,2700458.00,21200907.00,18487580.00,2554965.00,2005.00,gains,9 months under 10 months,
10 months under 11 months,2534525.00,18886433.00,16485241.00,2401054.00,2005.00,gains,10 months under 11 months,
11 months under 12 months,2299958.00,18818227.00,16677633.00,2166200.00,2005.00,gains,11 months under 12 months,
1 year or more [2],732466.00,18426921.00,16440734.00,2039876.00,2005.00,gains,1 year or more [2],
Holding period not determinable,7618742.00,872307262.00,847257114.00,45702378.00,2005.00,gains,Holding period not determinable,
Long-term transactions,,,,,2005.00,gains,Long-term transactions,
Total:,77033524.00,1481156209.00,865487911.00,801798879.00,2005.00,gains,Total:,
Under 18 months [3],13131186.00,162389712.00,133150924.00,28479339.00,2005.00,gains,Under 18 months [3],
18 months under 2 years,7735760.00,85464140.00,67784285.00,16055528.00,2005.00,gains,18 months under 2 years,
2 years under 3 years,9433025.00,140862148.00,99714983.00,33511432.00,2005.00,gains,2 years under 3 years,
3 years under 4 years,5411186.00,84460894.00,59566436.00,19349385.00,2005.00,gains,3 years under 4 years,
4 years under 5 years,2805886.00,162500008.00,47864843.00,109900447.00,2005.00,gains,4 years under 5 years,
5 years under 10 years,6482282.00,208651451.00,127208116.00,58835035.00,2005.00,gains,5 years under 10 years,
10 years under 15 years,2048729.00,108211322.00,48001149.00,51001180.00,2005.00,gains,10 years under 15 years,
15 years under 20 years,828018.00,64392242.00,25468355.00,32345669.00,2005.00,gains,15 years under 20 years,
20 years or more,1315979.00,131778049.00,35094205.00,75845490.00,2005.00,gains,20 years or more,
Holding period not determinable,27841473.00,332446243.00,221634615.00,376475374.00,2005.00,gains,Holding period not determinable,
Total:,74983697.00,1391606111.00,1311768334.00,103085513.00,2006.00,gains,Total:,
Under 1 month,20343544.00,392010819.00,378515309.00,14137242.00,2006.00,gains,Under 1 month,
1 month under 2 months,6751452.00,79796792.00,73935050.00,5656469.00,2006.00,gains,1 month under 2 months,
2 months under 3 months,5136141.00,65767630.00,60755035.00,5060894.00,2006.00,gains,2 months under 3 months,
3 months under 4 months,4873264.00,49040159.00,45710378.00,3329278.00,2006.00,gains,3 months under 4 months,
4 months under 5 months,4367547.00,33478120.00,30538148.00,2949701.00,2006.00,gains,4 months under 5 months,
5 months under 6 months,3956299.00,45243973.00,40528912.00,4744364.00,2006.00,gains,5 months under 6 months,
6 months under 7 months,3702458.00,42443963.00,39274107.00,2896955.00,2006.00,gains,6 months under 7 months,
7 months under 8 months,3558809.00,29653367.00,25636133.00,2889973.00,2006.00,gains,7 months under 8 months,
8 months under 9 months,3099229.00,21973381.00,19403750.00,2436924.00,2006.00,gains,8 months under 9 months,
9 months under 10 months,3250048.00,21331162.00,20229942.00,2234627.00,2006.00,gains,9 months under 10 months,
10 months under 11 months,2984347.00,18376324.00,16211962.00,2159205.00,2006.00,gains,10 months under 11 months,
11 months under 12 months,2643637.00,16956487.00,15101152.00,1891762.00,2006.00,gains,11 months under 12 months,
1 year or more [2],878172.00,34135113.00,32351571.00,1826006.00,2006.00,gains,1 year or more [2],
Holding period not determinable,9438750.00,541398821.00,513576885.00,50872113.00,2006.00,gains,Holding period not determinable,
Long-term transactions,,,,,2006.00,gains,Long-term transactions,
Total:,86852293.00,1385404735.00,867757917.00,788510577.00,2006.00,gains,Total:,
Under 18 months [3],15751431.00,156543944.00,126614590.00,28998790.00,2006.00,gains,Under 18 months [3],
18 months under 2 years,9473310.00,83854704.00,66149666.00,17071388.00,2006.00,gains,18 months under 2 years,
2 years under 3 years,11056857.00,138660366.00,99810900.00,32827008.00,2006.00,gains,2 years under 3 years,
3 years under 4 years,5964886.00,75257535.00,51437964.00,21167974.00,2006.00,gains,3 years under 4 years,
4 years under 5 years,3251245.00,56832557.00,38194506.00,16234549.00,2006.00,gains,4 years under 5 years,
5 years under 10 years,6934444.00,203902039.00,108611931.00,76642752.00,2006.00,gains,5 years under 10 years,
10 years under 15 years,2239406.00,76978988.00,35638279.00,32147533.00,2006.00,gains,10 years under 15 years,
15 years under 20 years,859516.00,46335313.00,17943324.00,24113251.00,2006.00,gains,15 years under 20 years,
20 years or more,1287171.00,89065797.00,29241751.00,50162878.00,2006.00,gains,20 years or more,
Holding period not determinable,30034027.00,457973492.00,294115006.00,489144454.00,2006.00,gains,Holding period not determinable,
Total:,71223052.98,1728666525.88,1599616766.02,117600001.44,2007.00,gains,Total:,
Under 1 month,18512554.01,352618525.45,337267344.83,16703153.79,2007.00,gains,Under 1 month,
1 month under 2 months,6342608.54,80373531.09,75147187.81,5371733.57,2007.00,gains,1 month under 2 months,
2 months under 3 months,4819942.23,56249608.91,48994409.34,7383695.21,2007.00,gains,2 months under 3 months,
3 months under 4 months,4534428.70,45770206.17,42731528.06,3100072.04,2007.00,gains,3 months under 4 months,
4 months under 5 months,3835966.16,35202679.36,32311000.30,2951741.96,2007.00,gains,4 months under 5 months,
5 months under 6 months,3541319.78,31125299.34,28925484.36,2608243.72,2007.00,gains,5 months under 6 months,
6 months under 7 months,4461803.03,51421757.56,48584106.45,3121109.78,2007.00,gains,6 months under 7 months,
7 months under 8 months,3575622.64,25838554.74,23100618.44,2747012.44,2007.00,gains,7 months under 8 months,
8 months under 9 months,3020052.22,19753237.61,17560896.29,2263391.44,2007.00,gains,8 months under 9 months,
9 months under 10 months,3120389.92,23182662.42,20924759.47,2291225.33,2007.00,gains,9 months under 10 months,
10 months under 11 months,2633640.83,17791561.21,15755429.59,2114475.57,2007.00,gains,10 months under 11 months,
11 months under 12 months,2785092.21,21044144.06,18947850.11,2587645.42,2007.00,gains,11 months under 12 months,
1 year or more [2],904609.60,77694274.74,33063207.15,1987836.17,2007.00,gains,1 year or more [2],
Holding period not determinable,9135023.11,890600483.22,856302943.82,62368665.00,2007.00,gains,Holding period not determinable,
Long-term transactions,,,,,2007.00,gains,Long-term transactions,
Total:,102183789.04,1585033421.22,961589336.09,989370484.22,2007.00,gains,Total:,
Under 18 months [3],18793535.08,175117604.41,148729969.91,26871953.69,2007.00,gains,Under 18 months [3],
18 months under 2 years,11672732.97,97985241.42,79773075.28,19617355.35,2007.00,gains,18 months under 2 years,
2 years under 3 years,13488449.36,240516440.64,103403465.40,134442833.77,2007.00,gains,2 years under 3 years,
3 years under 4 years,7717193.42,101087581.26,73027102.55,22361028.91,2007.00,gains,3 years under 4 years,
4 years under 5 years,4440945.42,60240717.81,40942102.31,17527479.84,2007.00,gains,4 years under 5 years,
5 years under 10 years,8424950.43,190838900.50,113107445.15,65780864.18,2007.00,gains,5 years under 10 years,
10 years under 15 years,2546196.49,78197926.54,34894922.30,34584419.94,2007.00,gains,10 years under 15 years,
15 years under 20 years,849546.51,48486672.92,23045004.29,18342337.30,2007.00,gains,15 years under 20 years,
20 years or more,1334672.46,85409936.39,24194688.97,49939954.24,2007.00,gains,20 years or more,
Holding period not determinable,32915566.90,507152399.33,320471559.93,599902257.00,2007.00,gains,Holding period not determinable,
Total:,31356034.00,1486437267.00,1534936515.00,53028683.00,2004.00,losses,Total:,
Under 1 month,8935276.00,229362376.00,237768678.00,8419693.00,2004.00,losses,Under 1 month,
1 month under 2 months,3399531.00,35381000.00,39477562.00,4083316.00,2004.00,losses,1 month under 2 months,
2 months under 3 months,2499690.00,26701091.00,29732507.00,3049039.00,2004.00,losses,2 months under 3 months,
3 months under 4 months,2010140.00,17661156.00,20099100.00,2437883.00,2004.00,losses,3 months under 4 months,
4 months under 5 months,1793018.00,15270738.00,17497175.00,2226422.00,2004.00,losses,4 months under 5 months,
5 months under 6 months,1698381.00,13094158.00,15008597.00,1914712.00,2004.00,losses,5 months under 6 months,
6 months under 7 months,1516373.00,14202665.00,16043680.00,1859465.00,2004.00,losses,6 months under 7 months,
7 months under 8 months,1263842.00,11589963.00,13099316.00,1509304.00,2004.00,losses,7 months under 8 months,
8 months under 9 months,1071151.00,10737288.00,12259506.00,1527859.00,2004.00,losses,8 months under 9 months,
9 months under 10 months,993976.00,14424637.00,15960207.00,1535535.00,2004.00,losses,9 months under 10 months,
10 months under 11 months,851928.00,7262264.00,8543401.00,1281654.00,2004.00,losses,10 months under 11 months,
11 months under 12 months,823652.00,25637156.00,26971152.00,1335277.00,2004.00,losses,11 months under 12 months,
1 year or more [2],289451.00,13363730.00,17374754.00,3939770.00,2004.00,losses,1 year or more [2],
Holding period not determinable,4209625.00,1051749045.00,1065100880.00,17908754.00,2004.00,losses,Holding period not determinable,
Long-term transactions,,,, ,2004.00,losses,Long-term transactions,
Total:,28920726.00,253481763.00,342091335.00,104956475.00,2004.00,losses,Total:,
Under 18 months [3],3001811.00,33927384.00,38099222.00,5607011.00,2004.00,losses,Under 18 months [3],
18 months under 2 years,1894648.00,16113184.00,19103117.00,2980318.00,2004.00,losses,18 months under 2 years,
2 years under 3 years,4136652.00,26820691.00,33952547.00,7183029.00,2004.00,losses,2 years under 3 years,
3 years under 4 years,4055329.00,24128084.00,35364858.00,11259582.00,2004.00,losses,3 years under 4 years,
4 years under 5 years,3534769.00,16723421.00,31627777.00,14980789.00,2004.00,losses,4 years under 5 years,
5 years under 10 years,3743378.00,26780173.00,39863615.00,12770700.00,2004.00,losses,5 years under 10 years,
10 years under 15 years,558802.00,4974168.00,8698103.00,3850953.00,2004.00,losses,10 years under 15 years,
15 years under 20 years,154251.00,3770729.00,4703668.00,933380.00,2004.00,losses,15 years under 20 years,
20 years or more,169625.00,1565816.00,2828425.00,1262610.00,2004.00,losses,20 years or more,
Holding period not determinable,7671461.00,98678113.00,127850003.00,44128103.00,2004.00,losses,Holding period not determinable,
Total:,42173217.00,1236716620.00,1290146416.00,58339717.00,2005.00,losses,Total:,
Under 1 month,12834788.00,255831022.00,264598486.00,8806462.00,2005.00,losses,Under 1 month,
1 month under 2 months,4342731.00,35159183.00,40207357.00,5065566.00,2005.00,losses,1 month under 2 months,
2 months under 3 months,3343596.00,25184818.00,28611195.00,3388083.00,2005.00,losses,2 months under 3 months,
3 months under 4 months,2993120.00,20540141.00,23366958.00,2888253.00,2005.00,losses,3 months under 4 months,
4 months under 5 months,2354642.00,17090939.00,19452294.00,2364631.00,2005.00,losses,4 months under 5 months,
5 months under 6 months,2107164.00,15495907.00,17459599.00,2037582.00,2005.00,losses,5 months under 6 months,
6 months under 7 months,1804977.00,21215196.00,23252111.00,2039540.00,2005.00,losses,6 months under 7 months,
7 months under 8 months,1678816.00,12542749.00,14021907.00,1485162.00,2005.00,losses,7 months under 8 months,
8 months under 9 months,1553320.00,11666438.00,13224804.00,1558996.00,2005.00,losses,8 months under 9 months,
9 months under 10 months,1426976.00,10995808.00,13062474.00,2067769.00,2005.00,losses,9 months under 10 months,
10 months under 11 months,1461345.00,10562168.00,12355492.00,1795782.00,2005.00,losses,10 months under 11 months,
11 months under 12 months,1286709.00,10571344.00,12182164.00,1614851.00,2005.00,losses,11 months under 12 months,
1 year or more [2],372007.00,4671256.00,5753184.00,1089424.00,2005.00,losses,1 year or more [2],
Holding period not determinable,4613026.00,785189651.00,802598391.00,22137616.00,2005.00,losses,Holding period not determinable,
Long-term transactions,,,, ,2005.00,losses,Long-term transactions,
Total:,31123729.00,375302158.78,456645365.00,94464946.00,2005.00,losses,Total:,
Under 18 months [3],5991992.00,54776097.00,62167394.00,7618551.00,2005.00,losses,Under 18 months [3],
18 months under 2 years,3196170.00,29449242.00,33939435.00,4512307.00,2005.00,losses,18 months under 2 years,
2 years under 3 years,2954818.00,26704904.00,30931757.00,4210096.00,2005.00,losses,2 years under 3 years,
3 years under 4 years,2979948.00,19271849.00,24527767.00,5256669.00,2005.00,losses,3 years under 4 years,
4 years under 5 years,3042417.00,15473244.00,24906620.00,9591903.00,2005.00,losses,4 years under 5 years,
5 years under 10 years,5122503.00,31142966.78,48573955.00,18156809.00,2005.00,losses,5 years under 10 years,
10 years under 15 years,432574.00,4861457.00,6735974.00,1879404.00,2005.00,losses,10 years under 15 years,
15 years under 20 years,172497.00,1627685.00,2644580.00,1016796.00,2005.00,losses,15 years under 20 years,
20 years or more,179182.00,2688465.00,3501743.00,872134.00,2005.00,losses,20 years or more,
Holding period not determinable,7051628.00,189306249.00,218716140.00,41350277.00,2005.00,losses,Holding period not determinable,
Total:,47461166.00,1248322607.00,1308667759.00,66656153.00,2006.00,losses,Total:,
Under 1 month,12454515.00,277059442.00,290006853.00,12873862.00,2006.00,losses,Under 1 month,
1 month under 2 months,4876492.00,37306502.00,42623126.00,5516652.00,2006.00,losses,1 month under 2 months,
2 months under 3 months,3880146.00,33119536.00,37620546.00,4548244.00,2006.00,losses,2 months under 3 months,
3 months under 4 months,3181653.00,18158296.00,20512443.00,2450374.00,2006.00,losses,3 months under 4 months,
4 months under 5 months,3020122.00,19341067.00,21835045.00,2512114.00,2006.00,losses,4 months under 5 months,
5 months under 6 months,2754551.00,27239115.00,29767024.00,2553653.00,2006.00,losses,5 months under 6 months,
6 months under 7 months,2414459.00,15920231.00,18255692.00,2337787.00,2006.00,losses,6 months under 7 months,
7 months under 8 months,2165997.00,13405414.00,14927233.00,1526176.00,2006.00,losses,7 months under 8 months,
8 months under 9 months,1953440.00,15872567.00,18278340.00,2410816.00,2006.00,losses,8 months under 9 months,
9 months under 10 months,1730846.00,9960882.00,11309484.00,1348542.00,2006.00,losses,9 months under 10 months,
10 months under 11 months,1564063.00,10847413.00,12098144.00,1219117.00,2006.00,losses,10 months under 11 months,
11 months under 12 months,1362915.00,10101677.00,11196062.00,1175991.00,2006.00,losses,11 months under 12 months,
1 year or more [2],440914.00,5055422.00,5858378.00,803246.00,2006.00,losses,1 year or more [2],
Holding period not determinable,5661053.00,754935043.00,774379389.00,25379578.00,2006.00,losses,Holding period not determinable,
Long-term transactions,,,,,2006.00,losses,Long-term transactions,
Total:,31694682.00,302212229.00,373061835.00,80579874.00,2006.00,losses,Total:,
Under 18 months [3],6816679.00,55551376.00,62321894.00,7132820.00,2006.00,losses,Under 18 months [3],
18 months under 2 years,3919551.00,28687484.00,33262492.00,4582904.00,2006.00,losses,18 months under 2 years,
2 years under 3 years,4124807.00,38829516.00,45525220.00,6767556.00,2006.00,losses,2 years under 3 years,
3 years under 4 years,1865438.00,20504791.00,23555028.00,3058506.00,2006.00,losses,3 years under 4 years,
4 years under 5 years,1655327.00,17436837.00,20934689.00,3496891.00,2006.00,losses,4 years under 5 years,
5 years under 10 years,5734163.00,30961898.00,48921712.00,17995641.00,2006.00,losses,5 years under 10 years,
10 years under 15 years,543225.00,5198443.00,7602247.00,2405262.00,2006.00,losses,10 years under 15 years,
15 years under 20 years,169019.00,4941548.00,6087498.00,1145950.00,2006.00,losses,15 years under 20 years,
20 years or more,135532.00,2570605.00,3768352.00,1197794.00,2006.00,losses,20 years or more,
Holding period not determinable,6730941.00,97529731.00,121082703.00,32796550.00,2006.00,losses,Holding period not determinable,
Total:,47166207.66,1468542982.05,1546123231.88,89048160.38,2007.00,losses,Total:,
Under 1 month,13071263.06,237053918.04,245804019.15,11478673.82,2007.00,losses,Under 1 month,
1 month under 2 months,5022170.28,40094079.70,48702179.73,8563089.06,2007.00,losses,1 month under 2 months,
2 months under 3 months,3744426.03,27417949.07,32028772.75,4602453.28,2007.00,losses,2 months under 3 months,
3 months under 4 months,3329832.27,20947885.81,24306792.58,3346861.97,2007.00,losses,3 months under 4 months,
4 months under 5 months,2799530.41,18278951.65,21829157.21,3553853.01,2007.00,losses,4 months under 5 months,
5 months under 6 months,2342770.22,14343633.43,16809517.68,2460804.14,2007.00,losses,5 months under 6 months,
6 months under 7 months,2443475.59,18852299.53,23310518.34,4504849.67,2007.00,losses,6 months under 7 months,
7 months under 8 months,1844541.50,15178564.67,17443360.96,2250289.92,2007.00,losses,7 months under 8 months,
8 months under 9 months,1740013.46,13959196.70,16142161.51,2170028.22,2007.00,losses,8 months under 9 months,
9 months under 10 months,1707540.80,13579414.64,15671074.81,2090776.34,2007.00,losses,9 months under 10 months,
10 months under 11 months,1732413.73,13752900.92,15690430.26,1949061.34,2007.00,losses,10 months under 11 months,
11 months under 12 months,1371356.19,9916679.85,11580076.48,1652615.52,2007.00,losses,11 months under 12 months,
1 year or more [2],454594.84,23677112.27,25487997.64,1504858.09,2007.00,losses,1 year or more [2],
Holding period not determinable,5562279.28,1001490395.77,1031317172.78,38919946.00,2007.00,losses,Holding period not determinable,
Long-term transactions,,,,,2007.00,losses,Long-term transactions,
Total:,31133844.93,366239783.26,457030503.54,101402616.40,2007.00,losses,Total:,
Under 18 months [3],7134265.00,54792080.62,62377037.62,8072609.41,2007.00,losses,Under 18 months [3],
18 months under 2 years,4269303.88,33120912.63,38498482.92,5387118.33,2007.00,losses,18 months under 2 years,
2 years under 3 years,4466595.99,52456676.79,74127143.12,21552781.20,2007.00,losses,2 years under 3 years,
3 years under 4 years,2414747.75,25193265.75,29739972.90,4542233.99,2007.00,losses,3 years under 4 years,
4 years under 5 years,1132069.31,13910835.09,16408909.52,2485491.74,2007.00,losses,4 years under 5 years,
5 years under 10 years,4745491.63,37015808.39,51895878.23,14861015.58,2007.00,losses,5 years under 10 years,
10 years under 15 years,641177.60,24949230.80,32352962.58,7369343.82,2007.00,losses,10 years under 15 years,
15 years under 20 years,138323.57,2561667.19,4578000.62,2016136.22,2007.00,losses,15 years under 20 years,
20 years or more,138384.78,12306206.66,14169462.12,1863234.11,2007.00,losses,20 years or more,
Holding period not determinable,6053485.42,109933099.34,132882653.91,33252652.00,2007.00,losses,Holding period not determinable,
Total:,70375.00,1794917150.88,1711026489.55,136265940.97,2008.00,gains,Total:,
  Under 1 month,29715.79,535101819.13,533139648.25,27488152.68,2008.00,gains,  Under 1 month,
  1 month under 2 months,5511.74,110376255.31,105629863.15,5560691.81,2008.00,gains,  1 month under 2 months,
  2 months under 3 months,3629.45,75708704.50,72429122.53,3709241.37,2008.00,gains,  2 months under 3 months,
  3 months under 4 months,3024.68,64664602.20,62177218.71,2915792.04,2008.00,gains,  3 months under 4 months,
  4 months under 5 months,2550.07,38598872.31,36663652.34,2011143.51,2008.00,gains,  4 months under 5 months,
  5 months under 6 months,2144.44,41400099.95,39651873.95,1852151.89,2008.00,gains,  5 months under 6 months,
  6 months under 7 months,2440.68,47323404.56,45401468.86,2090819.28,2008.00,gains,  6 months under 7 months,
  7 months under 8 months,1789.34,27589381.04,25693413.39,1843874.10,2008.00,gains,  7 months under 8 months,
  8 months under 9 months,1769.70,26931007.53,24716582.78,2215149.85,2008.00,gains,  8 months under 9 months,
  9 months under 10 months,1606.88,37625632.34,36170014.61,1453365.05,2008.00,gains,  9 months under 10 months,
  10 months under 11 months,1457.27,33190081.26,32022015.03,1390995.41,2008.00,gains,  10 months under 11 months,
  11 months under 12 months,1409.56,24182050.60,21824473.92,2282132.83,2008.00,gains,  11 months under 12 months,
  1 year or more [2],584.37,76816268.96,73143511.19,3751803.86,2008.00,gains,  1 year or more [2],
   Period not determinable,12741.03,655408971.19,602363630.84,77700627.28,2008.00,gains,   Period not determinable,
Long-term transactions,,,,,2008.00,gains,Long-term transactions,
Total:,74501.48,1292375834.66,874485506.97,640492563.53,2008.00,gains,Total:,
  Under 18 months [3],9636.88,136365733.83,117353612.29,18937143.14,2008.00,gains,  Under 18 months [3],
  18 months under 2 years,7255.03,75236743.35,62631630.29,12315391.41,2008.00,gains,  18 months under 2 years,
  2 years under 3 years,10648.05,125162403.56,106162525.92,19473302.20,2008.00,gains,  2 years under 3 years,
  3 years under 4 years,5798.78,81317964.79,64542236.40,16102054.65,2008.00,gains,  3 years under 4 years,
  4 years under 5 years,3603.65,57729162.06,42489293.63,14134703.76,2008.00,gains,  4 years under 5 years,
  5 years under 10 years,7757.22,180013811.09,120424423.73,52405172.71,2008.00,gains,  5 years under 10 years,
  10 years under 15 years,2267.43,61912683.99,28767223.23,28826642.86,2008.00,gains,  10 years under 15 years,
  15 years under 20 years,844.28,43919697.54,17038221.40,23601787.42,2008.00,gains,  15 years under 20 years,
  20 years or more,1145.10,76488805.97,22252655.98,45151256.12,2008.00,gains,  20 years or more,
  Period not determinable,25545.06,454228828.50,292823684.10,409545109.27,2008.00,gains,  Period not determinable,
  Under 1 month,26883.97,437517052.44,490236012.26,19555300.16,2009.00,gains,  Under 1 month,
  1 month under 2 months,7176.59,78355097.67,72478173.00,6768546.95,2009.00,gains,  1 month under 2 months,
  2 months under 3 months,5636.11,49975120.02,45364265.40,4798758.56,2009.00,gains,  2 months under 3 months,
  3 months under 4 months,5113.47,59946189.03,55443275.53,4635083.57,2009.00,gains,  3 months under 4 months,
  4 months under 5 months,4472.31,39945768.17,35731917.13,4320100.77,2009.00,gains,  4 months under 5 months,
  5 months under 6 months,3981.83,37658218.71,33667289.88,4140381.64,2009.00,gains,  5 months under 6 months,
  6 months under 7 months,3594.53,47856293.54,44012099.98,3894951.08,2009.00,gains,  6 months under 7 months,
  7 months under 8 months,3203.45,24001072.06,20658850.42,3386376.26,2009.00,gains,  7 months under 8 months,
  8 months under 9 months,2455.39,22954800.07,19753223.86,3236024.80,2009.00,gains,  8 months under 9 months,
  9 months under 10 months,2255.46,27030400.30,24555143.47,2490197.34,2009.00,gains,  9 months under 10 months,
  10 months under 11 months,1780.42,17493277.92,15579911.02,2097345.27,2009.00,gains,  10 months under 11 months,
  11 months under 12 months,1550.38,22012325.51,20264395.71,1568858.85,2009.00,gains,  11 months under 12 months,
  1 year or more [2],632.22,74626539.84,72131534.92,2532207.70,2009.00,gains,  1 year or more [2],
   Period not determinable,22380.13,750068739.43,694785757.54,109466199.14,2009.00,gains,   Period not determinable,
Long-term transactions,,,,,2009.00,gains,Long-term transactions,
Total:,41035.11,808551616.08,582642176.20,317952345.05,2009.00,gains,Total:,
  Under 18 months [3],5943.74,84432396.58,77729145.34,7033287.26,2009.00,gains,  Under 18 months [3],
  18 months under 2 years,2675.40,43251988.00,39687201.15,4149896.20,2009.00,gains,  18 months under 2 years,
  2 years under 3 years,3857.79,68895146.87,61134333.38,9064937.96,2009.00,gains,  2 years under 3 years,
  3 years under 4 years,3014.53,50297692.61,43081004.09,8611083.66,2009.00,gains,  3 years under 4 years,
  4 years under 5 years,2090.68,42593989.41,35203421.58,8160740.13,2009.00,gains,  4 years under 5 years,
  5 years under 10 years,5683.21,116204076.02,86573877.40,26347629.46,2009.00,gains,  5 years under 10 years,
  10 years under 15 years,1783.54,53768112.91,30298203.34,18988006.86,2009.00,gains,  10 years under 15 years,
  15 years under 20 years,748.55,28383733.43,12450653.42,13539715.12,2009.00,gains,  15 years under 20 years,
  20 years or more,947.37,55608370.34,22239146.96,26386328.09,2009.00,gains,  20 years or more,
  Period not determinable,14290.30,265116109.93,174245189.55,195670720.30,2009.00,gains,  Period not determinable,
Total,71856.16,1805640322.27,1717538322.85,126023236.83,2010.00,gains,Total,
  Under 1 month,20178.28,315241709.67,308366322.11,10523347.04,2010.00,gains,  Under 1 month,
  1 month under 2 months,5834.59,64332605.70,60443558.04,4116426.25,2010.00,gains,  1 month under 2 months,
  2 months under 3 months,4127.20,44697755.82,41882885.48,3090484.56,2010.00,gains,  2 months under 3 months,
  3 months under 4 months,3750.86,55455852.06,53005088.50,2524314.91,2010.00,gains,  3 months under 4 months,
  4 months under 5 months,3362.82,31855480.28,29350919.26,2460880.04,2010.00,gains,  4 months under 5 months,
  5 months under 6 months,2943.14,27914455.52,25808378.28,2123574.05,2010.00,gains,  5 months under 6 months,
  6 months under 7 months,3161.87,59537830.49,57349908.01,2367371.90,2010.00,gains,  6 months under 7 months,
  7 months under 8 months,2775.99,23816062.73,21850745.72,2056935.44,2010.00,gains,  7 months under 8 months,
  8 months under 9 months,2578.63,24346155.22,22093397.97,2402060.76,2010.00,gains,  8 months under 9 months,
  9 months under 10 months,2611.45,28063132.05,25920022.71,2415321.26,2010.00,gains,  9 months under 10 months,
  10 months under 11 months,2531.18,20065900.31,17789478.56,2320136.06,2010.00,gains,  10 months under 11 months,
  11 months under 12 months,2542.22,25429174.80,23258878.29,2181275.39,2010.00,gains,  11 months under 12 months,
  1 year or more [2],785.03,51589517.01,49251597.44,2383713.87,2010.00,gains,  1 year or more [2],
   Period not determinable,14672.90,1033294690.60,981167142.49,85057395.30,2010.00,gains,   Period not determinable,
Long-term transactions,,,,,2010.00,gains,Long-term transactions,
Total,64412.06,1535152793.30,1152509926.76,514248433.92,2010.00,gains,Total,
  Under 18 months [3],14352.68,156651880.20,133897442.81,22600234.61,2010.00,gains,  Under 18 months [3],
  18 months under 2 years,7471.62,99311692.77,85867994.75,13888875.50,2010.00,gains,  18 months under 2 years,
  2 years under 3 years,5765.27,149288432.96,138825147.46,12062362.60,2010.00,gains,  2 years under 3 years,
  3 years under 4 years,2852.40,67351815.58,60447231.66,9064846.04,2010.00,gains,  3 years under 4 years,
  4 years under 5 years,2355.46,55429305.17,43789709.47,7384569.76,2010.00,gains,  4 years under 5 years,
  5 years under 10 years,6037.97,149298127.18,122450956.63,26658010.69,2010.00,gains,  5 years under 10 years,
