,"Number of
transactions","Sales
price",Basis,Gain,Year,Type,type,
8 months under 9 months,1632360.00,19975897.00,14740930.00,5213553.00,2000.00,gains,8 months under 9 months,
9 months under 10 months,1598427.00,18973601.00,13242120.00,5738851.00,2000.00,gains,9 months under 10 months,
10 months under 11 months,1432590.00,16805056.00,12138628.00,4698641.00,2000.00,gains,10 months under 11 months,
11 months under 12 months,1349293.00,124821523.00,120194747.00,4668990.00,2000.00,gains,11 months under 12 months,
1 year or more [2],595998.00,30627524.00,27610665.00,3028559.00,2000.00,gains,1 year or more [2],
Holding period not determinable,8040834.00,850649603.00,807995449.00,64815642.00,2000.00,gains,Holding period not determinable,
Long-term transactions,,,,,2000.00,gains,Long-term transactions,
Total:,68923730.00,1076524102.00,563802165.00,727353134.00,2000.00,gains,Total:,
Under 18 months [3],7930157.00,122280550.00,74478403.00,47720590.00,2000.00,gains,Under 18 months [3],
18 months under 2 years,4484188.00,71332200.00,40105966.00,31105544.00,2000.00,gains,18 months under 2 years,
2 years under 3 years,6059734.00,98391675.00,57496468.00,38909069.00,2000.00,gains,2 years under 3 years,
3 years under 4 years,3632996.00,64694325.00,32750511.00,31387028.00,2000.00,gains,3 years under 4 years,
4 years under 5 years,2791138.00,55881539.00,28126479.00,25601912.00,2000.00,gains,4 years under 5 years,
5 years under 10 years,5454144.00,130763786.00,71095019.00,56105439.00,2000.00,gains,5 years under 10 years,
10 years under 15 years,2109410.00,85010362.00,43052573.00,37039076.00,2000.00,gains,10 years under 15 years,
15 years under 20 years,1119796.00,40627995.00,14761689.00,23509849.00,2000.00,gains,15 years under 20 years,
20 years or more,1478967.00,59490458.00,15881222.00,40633506.00,2000.00,gains,20 years or more,
Holding period not determinable,33863200.00,348051212.00,186053835.00,395341121.00,2000.00,gains,Holding period not determinable,
Total:,62993854.00,1664538861.00,1889910846.00,258494873.00,2000.00,Losses,Total:,
Under 1 month,19423094.00,324579466.00,363861314.00,39389630.00,2000.00,Losses,Under 1 month,
1 month under 2 months,7008365.00,69962765.00,92783187.00,22846596.00,2000.00,Losses,1 month under 2 months,
2 months under 3 months,4765023.00,40970554.00,59264168.00,18302285.00,2000.00,Losses,2 months under 3 months,
3 months under 4 months,3882058.00,33445641.00,46586057.00,13145142.00,2000.00,Losses,3 months under 4 months,
4 months under 5 months,3340487.00,23569981.00,34118588.00,10617324.00,2000.00,Losses,4 months under 5 months,
5 months under 6 months,2909891.00,20228340.00,30487093.00,10417272.00,2000.00,Losses,5 months under 6 months,
6 months under 7 months,2740790.00,30370623.00,39807589.00,9483543.00,2000.00,Losses,6 months under 7 months,
7 months under 8 months,2669534.00,20568218.00,30168818.00,9612104.00,2000.00,Losses,7 months under 8 months,
8 months under 9 months,2438453.00,17638287.00,27958104.00,10323715.00,2000.00,Losses,8 months under 9 months,
9 months under 10 months,2488667.00,17785681.00,29525888.00,11750313.00,2000.00,Losses,9 months under 10 months,
10 months under 11 months,1998464.00,15303080.00,24418333.00,9119428.00,2000.00,Losses,10 months under 11 months,
11 months under 12 months,1842378.00,27755508.00,35459717.00,7708377.00,2000.00,Losses,11 months under 12 months,
1 year or more [2],676135.00,112791782.00,117002049.00,4124008.00,2000.00,Losses,1 year or more [2],
Holding period not determinable,6810515.00,909568935.00,958469941.00,81655136.00,2000.00,Losses,Holding period not determinable,
Long-term transactions,,,,,2000.00,Losses,Long-term transactions,
Total:,27852075.00,267721782.00,356268851.00,97245752.00,2000.00,Losses,Total:,
Under 18 months [3],6776656.00,53937980.00,78157807.00,25039539.00,2000.00,Losses,Under 18 months [3],
18 months under 2 years,4067098.00,31561332.00,43259697.00,11728903.00,2000.00,Losses,18 months under 2 years,
2 years under 3 years,4405593.00,36936125.00,48328965.00,11332012.00,2000.00,Losses,2 years under 3 years,
3 years under 4 years,1975167.00,17305495.00,23309188.00,6004999.00,2000.00,Losses,3 years under 4 years,
4 years under 5 years,1133359.00,10428555.00,13430575.00,2981991.00,2000.00,Losses,4 years under 5 years,
5 years under 10 years,2007014.00,23073284.00,29775086.00,6698457.00,2000.00,Losses,5 years under 10 years,
10 years under 15 years,539449.00,7315589.00,9978926.00,2666624.00,2000.00,Losses,10 years under 15 years,
15 years under 20 years,195383.00,2725714.00,3891023.00,1165316.00,2000.00,Losses,15 years under 20 years,
20 years or more,146711.00,1468799.00,1920331.00,451712.00,2000.00,Losses,20 years or more,
Holding period not determinable,6605645.00,82968909.00,104217253.00,29176199.00,2000.00,Losses,Holding period not determinable,
